Country,Papers,Pop,PIB
USA,25763,332031554,23315080560000
GBR,14779,67026292,3141506156619
DEU,13553,83196078,4278503934690
ITA,8739,59133173,2155360298998
CHN,8674,1425861543,17820459508852
FRA,8214,67764304,2959355819171
ESP,6852,47415794,1445651653605
JPN,5858,125681593,5005536736792
AUS,5666,25685412,1559033756285
NLD,5513,17533044,1029678338329
CHL,5245,19493184,316581155649
CAN,4814,38226498,2001486745424
RUS,3402,144130482,1836892075548
CHE,3307,8704546,813408787222
IND,3205,1407563842,3150306839142
SWE,2618,10415811,639714956069
DNK,2403,5856733,405687998853
KOR,2094,51744876,1818432106880
POL,2049,37747124,681346136412
ZAF,2021,59392255,420117812464
BRA,1946,214326223,1649622821885
BEL,1893,11586195,600748812602
MEX,1840,126705138,1312557512901
ISR,1674,9371400,488526545879
ARG,1112,45808747,487902572164
CZE,1048,10505772,281791218507
AUT,1022,8955797,479295362747
FIN,1019,5541017,296776746826
PRT,982,10361831,255534839406
HUN,902,9709891,182090041757
IRL,823,5033164,513391778883
GRC,789,10569207,214667807441
NZL,477,5111400,255551704626
ARE,431,9365145,415178792770
UKR,427,43822901,199765859571
NOR,426,5408320,490293364377
TUR,412,84147318,819865253670
IRN,324,87923432,359096907773
THA,288,71601103,505568063989
SRB,224,6834326,63101069561
SVK,214,5447247,118576482543
HRV,206,3879000,69081236641
SVN,203,2108079,61832201544
BGR,194,6877743,84041493016
ARM,189,2790974,13878908629
EST,164,1330932,37191166152
COL,154,51516562,318511813577
SAU,146,35950396,874156115900
ROU,129,19122059,285810244502
LTU,128,2800839,66798933786
EGY,116,109262178,424671765456
ISL,114,372520,25595940170
GEO,103,3708610,18629365612
URY,30,3426260,61412268249
ECU,27,17797737,106165866000
CRI,16,5153957,64960725734
PER,16,33715471,223717799057
GTM,12,17109746,86053083476
CUB,10,11256372,545217900000
HND,7,10278345,28488721681
BOL,5,12079472,40406111695
NIC,5,6850540,14145880399
SLV,1,6314167,29451240000
PRY,1,6703799,39950899939
